Фирма,Область,Код области,Товар,Код товара,ЕИ,Производитель,Количество,Поставщик
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,173.0011,УП,"Астра Зенека Фармасьютикалс ЛП,США/Астра Зенека ЮК Лiмiтед, Великобританiя",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,173.0021,УП,"Астра Зенека  АБ, Швеція",26,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,173.0024,УП,"Астра Зенека  АБ, Швеція",82,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,173.002,УП,"Астра Зенека  АБ, Швеція",106,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,173.0022,УП,"Сенексі, Франція",22,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,173.0088,УП,"Астра Зенека  АБ, Швеція",182,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Будесонід Астразенека сусп.д/расп.0.25 мг/мл 2мл конт.конв.№20(5х4) карт уп*,6503002.0,УП,"АстраЗенека АБ, Швеція",4,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,6503001.0,УП,"АстраЗенека АБ, Швеція",29,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,173.0029,УП,"Астра Зенека ЮК Лімітед, Великобританія",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,173.0001,УП,"Астра Зенека ЮК Лімітед, Великобританія",9,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,173.0007,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",3,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Касодекс® табл. в / пл.об.150мг N28 *,173.0028,УП,"Корден Фарма С.п.А (""in bulk"" пак.), Італія ( Астра Зенека ЮК Лімітед, Великобританія)",2,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Крестор табл. в / пл.об. 40мг N28 (7х4),173.0097,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",30,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,173.0087,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",60,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,173.0026,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",94,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Крестор табл.в / пл.об.10мг N28 (14х2),173.0025,УП,"АйПіЕр Фармасьютикалс Інк.( из""in bulk""), Пуерто-Ріко,США/АстраЗенека ЮК Лімітед,Великобританія",88,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,5543002.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",127,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,5543003.0,УП,"АстраЗенека Фармасьютикалс ЛП, США ",59,АСТРАЗЕНЕКА АБ (632)
"ТОВ ""БаДМ""",ВИННИЦКАЯ,193,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,173.0054,УП,"Астра Зенека ЮК Лімітед, Велика Британія",6,АСТРАЗЕНЕКА АБ (632)
