Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"97 Запоріжжя, вул.Українська 57",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"192 м. Верхньодніпровськ, пр-т Тараса Шевченко, 12/2",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Кременчук, вул.Київська, 56, Полтавська обл.",Полтавська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"140 Кривий Ріг, вул.Алмазна 14а",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Одеська обл., Овідіопольський р-н, с.Мізікевича, пр-т Маршала Жукова, 101-м Аптека №1",Одеська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Одеса, вул.Аеропортівська, 29 Аптека №1",Одеська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Нова Одеса, вул.Червоних Партизанів, 26 	Аптека №1",Миколаївська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"вул.Північна, 6-В, м.Київ. Аптека №1 Калина",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"вул.Петра Курінного, 2, КНП ""ЦПМСД №3"" м.Києва",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Тернопільська обл., Чортківський р-н., м. Борщів, вул. Шевченка, 13 а",Тернопільська
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Хмельницька обл., смт Ярмолинці, вул.Пушкіна, 1 а/2",Хмельницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-141 м.Монастирище, вул.Соборна, 111",Черкаська
Беталок Зок таб. в/о 50мг №30,2,"Київська обл., Рокитнянський р-н, с.Ольшаниця, вул.Центральна, 89а  Аптека №1",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"м.Обухів,вул.Київська,буд.144В/6",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Житомирська обл., м. Андрушівка, вул. Хмельницького Богдана, 30-А",Житомирська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,1,"КФ А-10 м.Житомир, вул.Домбровського, 44-А",Житомирська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КА-42 м. Могилів-Подільський, вул. Стависька, 47",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"КА-54 м. Ямпіль, вул. Свободи, 81/49-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",2,"КА-67 м. Жмеринка, вул. Б.Хмельницького, 4",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КА-55 м. Могилів-Подільський, вул. Стависька, 10",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КА-42 м. Могилів-Подільський, вул. Стависька, 47",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Бердичів, вул. Маложитомирська, 2/8",Житомирська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м. Бердичів, вул. Житомирська, 115",Житомирська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КФ А-150 м. Козятин, вул. 8-ма Гвардійська, 55",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"м. Калинівка, вул.Незалежності, 55",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,7,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-111 с.Лука-Мелешківська, вул.Тиврівське шосе, 2",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,2,"Ф-101 м. Вінниця, вул. Соборна, 84",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,4,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",3,"Ф-23 м. Вінниця, вул. Ватутіна, 35",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,2,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",6,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"Ф-124 м. Вінниця, Олега Антонова, 13-В, корп.2, прим.99",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",4,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",5,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
Беталок Зок таб. в/о 25мг №14,2,"КА-53 м. Бершадь, вул. Ярослава Мудрого, 16-А",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-85 м.Тульчин, вул. Леонтовича, 37",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-7 м.Тульчин, вул.Леонтовича, 108",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"Ф-12 м. Вінниця, вул. Київська, 68-а",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,14,"Ф-103 м. Вінниця, вул. Хмельницьке шосе, 96-А",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-40 м. Вінниця, вул. Хмельницьке шосе, 23",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Вінниця, вул. Пирогова, 288",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-102 м. Вінниця, вул. Пирогова, 112-А",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-34 м. Вінниця, вул. Ю.Смірнова 23, / 1-й пр.Український, 6",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,1,"КФ А-33 смт Тиврів, вул. Тиверська, 79а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-88 смт Крижопіль, вул. Героїв України, 51",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-91, м. Вінниця, вул. Волошкова, 9",Вінницька
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,4,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-11 м. Вінниця, вул. Замостянська, 19",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-3 м.Вінниця, вул. Київська, 49",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КФ А-92 м. Іллінці, вул. Європейська, 18",Вінницька
Комбогліза XR таб. в/о 5мг/1000мг №28 (7х4)бліст,1,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,3,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"КФ А-58 м. Іллінці, вул. Європейська, 12",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",2,"м. Погребище, вул.П.Тичини, 56-А",Вінницька
Крестор таб. в/о 5мг №28 (14х2) бліст.,-1,"Київська обл., Бучанський район, с.Мила, вул.Комарова, 23-Л (Секції А-3,А-4 )",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"с.Вільне, вул.Шевченко, 7, Криворізький р-н, Дніпропетровська обл. Аптека №38 ""ГАЛЕН""",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"114 Кривий Ріг, вул.Соборності 38",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"140 Кривий Ріг, вул.Алмазна 14а",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"185 Кривий Ріг, вул.Володимира Терещенка 1",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"190 Кривий Ріг, вул.Десантна 13",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"141 Запоріжжя, вул.Ентузіастів 3",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"160 Запоріжжя, вул.Василя Сергієнка 33",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"198 Запоріжжя, вул.Північнокільцева 15",Запоріжська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"57 Запоріжжя, вул.Ладозька 14",Запоріжська
